,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,name,mean_wind,mean_pressure,year,result
0,0,0,0,MISSING_1036,22.8611,1052,2017,1
1,1,1,1,MISSING_1124,22.8611,1048,2017,1
2,2,2,2,EDITH,28.005540000000003,1052,2017,1
3,3,3,3,GRACIE,22.8611,1054,2017,1
4,4,4,4,CLEO,25.433320000000002,1048,2017,1
5,5,5,5,ISBELL,22.8611,1053,2017,1
6,6,6,6,DEBBIE,22.8611,1048,2017,1
7,7,7,7,DORIA,22.8611,1055,2017,1
8,8,8,8,FERN,22.8611,1050,2017,1
9,9,9,9,DOLLY,22.8611,1058,2017,1
10,10,10,10,SUBTROP,20.28888,1057,2017,1
11,11,11,11,GERDA,22.8611,1060,2017,1
12,12,12,12,MISSING_1221,25.433320000000002,1055,2017,1
13,13,13,13,MISSING_1222,25.433320000000002,1050,2017,1
14,14,14,14,SUBTROP,25.433320000000002,1050,2017,1
15,15,15,15,LAURIE,22.8611,1052,2017,1
16,16,16,16,MISSING_1223,22.8611,1059,2017,1
17,17,17,17,05P_ADA,25.433320000000002,1042,2017,1
18,18,18,18,18P_DOLLY,30.577759999999998,1035,2017,1
19,19,19,19,20P_EMMA,25.433320000000002,1042,2017,1
20,20,20,20,29P_GILLIAN,30.577759999999998,1035,2017,1
21,21,21,21,31P_ISA,30.577759999999998,1035,2017,1
22,22,22,22,30P_HELEN,30.577759999999998,1035,2017,1
23,23,23,23,CELIA,22.8611,1053,2017,1
24,24,24,24,MISSING_1229,22.8611,1060,2017,1
25,25,25,25,GRETA,28.005540000000003,1055,2017,1
26,26,26,26,MISSING_1235,25.433320000000002,1048,2017,1
27,27,27,27,MISSING_1236,22.8611,1058,2017,1
28,28,28,28,PRISCILLA,25.433320000000002,1042,2017,1
29,29,29,29,07P_ROSIE,25.433320000000002,1042,2017,1
30,30,30,30,CHLOE,25.433320000000002,1052,2017,1
31,31,31,31,EDITH,22.8611,1055,2017,1
32,32,32,32,IRENE_OLIVIA,22.8611,1054,2017,1
33,33,33,33,03P_CYC19711104_HSK0372,30.577759999999998,1035,2017,1
34,34,34,34,05P_URSULA,25.433320000000002,1042,2017,1
35,35,35,35,08P_VIVIENNE,25.433320000000002,1042,2017,1
36,36,36,36,CYC19720117_HSK1372,25.433320000000002,1042,2017,1
37,37,37,37,13P_WENDY,30.577759999999998,1035,2017,1
38,38,38,38,24P_YOLANDE,25.433320000000002,1042,2017,1
39,39,39,39,26P_AGATHA,25.433320000000002,1042,2017,1
40,40,40,40,ALPHA,22.8611,1049,2017,1
41,41,41,41,CARRIE,25.433320000000002,1057,2017,1
42,42,42,42,01P_BEBE,25.433320000000002,1042,2017,1
43,43,43,43,DELTA,22.8611,1058,2017,1
44,44,44,44,COLLETTE,30.577759999999998,1035,2017,1
45,45,45,45,04P_DIANA,25.433320000000002,1042,2017,1
46,46,46,46,09S_JEAN,20.28888,1050,2017,1
47,47,47,47,11P_FELICITY,25.433320000000002,1042,2017,1
48,48,48,48,FELICITY,25.433320000000002,1042,2017,1
49,49,49,49,13S_KERRY,22.8611,1052,2017,1
50,50,50,50,17P_ADELINE,25.433320000000002,1043,2017,1
51,51,51,51,18S_MAUD,22.8611,1047,2017,1
52,52,52,52,ELENORE_ELENORE,30.577759999999998,1035,2017,1
53,53,53,53,GLENDA,30.577759999999998,1035,2017,1
54,54,54,54,23P_KIRSTY,25.433320000000002,1044,2017,1
55,55,55,55,25P_28S_LEAH_LEAH_REGENE,25.433320000000002,1041,2017,1
56,56,56,56,27P_MADGE,22.8611,1048,2017,1
57,57,57,57,HENRIETTA,25.433320000000002,1042,2017,1
58,58,58,58,30S_NELLIE,22.8611,1046,2017,1
59,59,59,59,31S_BELLA,20.28888,1054,2017,1
60,60,60,60,32S_PAULA,20.28888,1051,2017,1
61,61,61,61,33P_JULIETTE,25.433320000000002,1042,2017,1
62,62,62,62,JULIETTE,25.433320000000002,1042,2017,1
63,63,63,63,JULIETTE,25.433320000000002,1042,2017,1
64,64,64,64,FLORES_CYCLO,22.8611,1047,2017,1
65,65,65,65,35S_36S_MARCELLE,22.8611,1046,2017,1
66,66,66,66,ALICE,25.433320000000002,1051,2017,1
67,67,67,67,ALFA,22.8611,1058,2017,1
68,68,68,68,DELIA,25.433320000000002,1053,2017,1
69,69,69,69,FRAN,25.433320000000002,1053,2017,1
70,70,70,70,GILDA,25.433320000000002,1053,2017,1
71,71,71,71,05P_CYC19731106_HSK0374,30.577759999999998,1035,2017,1
72,72,72,72,ANNIE,20.28888,1051,2017,1
73,73,73,73,07S_BERYL,22.8611,1052,2017,1
74,74,74,74,08P_LOTTIE_NATALIE_NATALIE_LOTT,28.005540000000003,1040,2017,1
75,75,75,75,CECILY,20.28888,1050,2017,1
76,76,76,76,10P_UNA,22.8611,1045,2017,1
77,77,77,77,11S_DALIDA_DEIDRE_DEIDRE_DELID,22.8611,1048,2017,1
78,78,78,78,12S_ERICA,22.8611,1044,2017,1
79,79,79,79,14S_FIONA-GWENDA_FIONA_GWEND,25.433320000000002,1042,2017,1
80,80,80,80,15P_MONICA,30.577759999999998,1035,2017,1
81,81,81,81,16P_NESSIE,25.433320000000002,1042,2017,1
82,82,82,82,19P_WANDA,22.8611,1049,2017,1
83,83,83,83,20P_PAM,25.433320000000002,1042,2017,1
84,84,84,84,21P_YVONNE,20.28888,1051,2017,1
85,85,85,85,26S_HELEN,22.8611,1046,2017,1
86,86,86,86,27P_ZOE,22.8611,1036,2017,1
87,87,87,87,28S_ISOBEL,20.28888,1048,2017,1
88,88,88,88,29S_JESSIE,25.433320000000002,1043,2017,1
89,89,89,89,32P_ALICE,22.8611,1045,2017,1
90,90,90,90,34P_TINA,25.433320000000002,1042,2017,1
91,91,91,91,SUBTROP,28.005540000000003,1057,2017,1
92,92,92,92,ALMA,22.8611,1055,2017,1
93,93,93,93,CARMEN,25.433320000000002,1056,2017,1
94,94,94,94,SUBTROP,25.433320000000002,1054,2017,1
95,95,95,95,MARCIA,20.28888,1051,2017,1
96,96,96,96,NORAH,20.28888,1051,2017,1
97,97,97,97,PENNY,22.8611,1049,2017,1
98,98,98,98,03S_SELMA,22.8611,1047,2017,1
99,99,99,99,07S_TRACY,22.8611,1045,2017,1
100,100,100,100,11P_12P_FLORA,25.433320000000002,1043,2017,1
101,101,101,101,14S_DEBORAH_ROBYN_ROBYN_DEBORA,22.8611,1049,2017,1
102,102,102,102,13P_GLORIA,25.433320000000002,1039,2017,1
103,103,103,103,16P_VAL,38.29442,1025,2017,1
104,104,104,104,SHIRLEY,20.28888,1053,2017,1
105,105,105,105,21S_TRIXIE,22.8611,1042,2017,1
106,106,106,106,23P_ALISON,30.577759999999998,1035,2017,1
107,107,107,107,25S_WILMA,25.433320000000002,1043,2017,1
108,108,108,108,27S_VIDA,25.433320000000002,1044,2017,1
109,109,109,109,28S_BEVERLEY,20.28888,1051,2017,1
110,110,110,110,29P_BETTY_HSK3075,25.433320000000002,1042,2017,1
111,111,111,111,30P_AMELIA,25.433320000000002,1040,2017,1
112,112,112,112,CLARA,22.8611,1048,2017,1
113,113,113,113,32S_CLARA,22.8611,1048,2017,1
114,114,114,114,DENISE,22.8611,1048,2017,1
115,115,115,115,AGATHA,25.433320000000002,1050,2017,1
116,116,116,116,AMY,22.8611,1058,2017,1
117,117,117,117,BLANCHE,20.28888,1059,2017,1
118,118,118,118,CAROLINE,22.8611,1056,2017,1
119,119,119,119,DORIS,28.005540000000003,1050,2017,1
120,120,120,120,GLADYS,22.8611,1057,2017,1
121,121,121,121,HALLIE,25.433320000000002,1051,2017,1
122,122,122,122,02S_RAY,20.28888,1053,2017,1
123,123,123,123,04S_JOAN,22.8611,1050,2017,1
124,124,124,124,05P_KIM,22.8611,1045,2017,1
125,125,125,125,SUBTROP,28.005540000000003,1042,2017,1
126,126,126,126,07S_SUE,20.28888,1049,2017,1
127,127,127,127,10P_DAVID,25.433320000000002,1042,2017,1
128,128,128,128,11S_VANESSA,20.28888,1045,2017,1
129,129,129,129,12P_ELSA,30.577759999999998,1035,2017,1
130,130,130,130,13P_ALAN,22.8611,1052,2017,1
131,131,131,131,14P_FRANCES,30.577759999999998,1035,2017,1
132,132,132,132,15P_BETH,22.8611,1048,2017,1
133,133,133,133,16S_WALLY,22.8611,1044,2017,1
134,134,134,134,18S_ALICE,20.28888,1048,2017,1
135,135,135,135,DAWN_DAWNSECONDA,28.005540000000003,1040,2017,1
136,136,136,136,20P_HOPE,30.577759999999998,1035,2017,1
137,137,137,137,LINDA,20.28888,1049,2017,1
138,138,138,138,25P_JAN,25.433320000000002,1042,2017,1
139,139,139,139,JAN,25.433320000000002,1042,2017,1
140,140,140,140,26P_WATOREA,22.8611,1049,2017,1
141,141,141,141,CAROL,20.28888,1051,2017,1
142,142,142,142,27S_CAROL,20.28888,1051,2017,1
143,143,143,143,SUBTROP,20.28888,1055,2017,1
144,144,144,144,ANNA,20.28888,1060,2017,1
145,145,145,145,BELLE,22.8611,1057,2017,1
146,146,146,146,DOTTIE,20.28888,1055,2017,1
147,147,147,147,CANDICE,25.433320000000002,1052,2017,1
148,148,148,148,EMMY,20.28888,1057,2017,1
149,149,149,149,FRANCES,22.8611,1054,2017,1
150,150,150,150,KATHLEEN,25.433320000000002,1053,2017,1
151,151,151,151,SUBTROP,17.71666,1062,2017,1
152,152,152,152,GLORIA,20.28888,1054,2017,1
153,153,153,153,HOLLY,22.8611,1051,2017,1
154,154,154,154,KIM,25.433320000000002,1042,2017,1
155,155,155,155,LAURIE,25.433320000000002,1042,2017,1
156,156,156,156,03S_HARRY,22.8611,1049,2017,1
157,157,157,157,04P_TED,22.8611,1050,2017,1
158,158,158,158,06S_IRENE,25.433320000000002,1045,2017,1
159,159,159,159,07P_MARION,25.433320000000002,1042,2017,1
160,160,160,160,08P_JUNE,22.8611,1045,2017,1
161,161,161,161,12P_KEITH,22.8611,1048,2017,1
162,162,162,162,CYC19770202_HSK1577,30.577759999999998,1035,2017,1
163,163,163,163,15P_LILY,22.8611,1044,2017,1
164,164,164,164,16P_MILES,22.8611,1044,2017,1
165,165,165,165,18P_NANCY,25.433320000000002,1044,2017,1
166,166,166,166,14S_IO_JACK_JACK_IO,22.8611,1049,2017,1
167,167,167,167,CYC19770219_HSK2277,25.433320000000002,1042,2017,1
168,168,168,168,19S_KAREN,22.8611,1047,2017,1
169,169,169,169,20P_OTTO_OTTOSECONDA,25.433320000000002,1034,2017,1
170,170,170,170,21P_NORMAN,25.433320000000002,1042,2017,1
171,171,171,171,PAT,25.433320000000002,1042,2017,1
172,172,172,172,23S_LEO,22.8611,1050,2017,1
173,173,173,173,24P_ROBERT,30.577759999999998,1035,2017,1
174,174,174,174,25S_VERNA,20.28888,1050,2017,1
175,175,175,175,ANITA,20.28888,1057,2017,1
176,176,176,176,BABE,22.8611,1052,2017,1
177,177,177,177,CLARA,20.28888,1060,2017,1
178,178,178,178,DOROTHY,20.28888,1055,2017,1
179,179,179,179,EVELYN,25.433320000000002,1055,2017,1
180,180,180,180,FRIEDA,22.8611,1056,2017,1
181,181,181,181,01P_TOM,25.433320000000002,1042,2017,1
182,182,182,182,03P_STEVE,25.433320000000002,1042,2017,1
183,183,183,183,04S_BABETTE,22.346656,1045,2017,1
184,184,184,184,05P_TESSA,25.433320000000002,1042,2017,1
185,185,185,185,06S_CELIMENE_SAM_SAM_CELIMENE,20.28888,1051,2017,1
186,186,186,186,08P_ANNE,25.433320000000002,1042,2017,1
187,187,187,187,DULCINEE,20.28888,1048,2017,1
188,188,188,188,10S_ESTHER,20.28888,1048,2017,1
189,189,189,189,PETER,22.8611,1045,2017,1
190,190,190,190,12S_TRUDY,20.28888,1049,2017,1
191,191,191,191,13S_FLEUR,20.28888,1048,2017,1
192,192,192,192,SUBTROP,22.8611,1058,2017,1
